listing_id,product_index,seller_id,price,shipping_cost,discount,visits
L000001,0,S006,3896,127,15,207
L000002,0,S013,4167,67,15,37
L000003,0,S007,3548,118,15,145
L000004,0,S003,4097,81,10,84
L000005,0,S001,3473,157,20,96
L000006,1,S007,5167,77,20,77
L000007,2,S011,2796,159,15,103
L000008,2,S004,2948,86,25,457
L000009,2,S012,3169,96,15,395
L000010,2,S009,3085,0,5,212
L000011,3,S004,5806,74,25,89
L000012,3,S011,5710,0,15,324
L000013,3,S008,6213,141,30,241
L000014,4,S011,2743,89,60,175
L000015,5,S002,5531,78,5,110
L000016,5,S004,5482,0,10,685
L000017,5,S006,5840,195,20,175
L000018,5,S011,5485,0,20,171
L000019,6,S013,4313,204,40,192
L000020,6,S001,4189,0,10,68
L000021,6,S005,3947,51,20,67
L000022,6,S008,4158,238,20,47
L000023,7,S007,4537,197,20,28
L000024,7,S012,5068,213,0,413
L000025,8,S005,5329,82,10,911
L000026,8,S003,4989,52,20,171
L000027,8,S010,5819,238,0,342
L000028,9,S012,5080,119,15,256
L000029,9,S006,4792,158,0,150
L000030,9,S007,5226,225,15,916
L000031,9,S011,5609,115,50,61
L000032,9,S002,5553,182,10,318
L000033,10,S002,5537,209,5,57
L000034,10,S001,6083,84,50,421
L000035,10,S013,5915,161,5,113
L000036,10,S012,5790,67,15,141
L000037,10,S004,5600,164,10,346
L000038,11,S003,5129,66,25,1774
L000039,11,S002,4680,54,20,30
L000040,11,S001,4948,0,30,6
L000041,11,S013,5276,158,15,176
L000042,12,S011,1455,120,10,141
L000043,12,S003,1329,75,15,586
L000044,12,S007,1470,101,25,66
L000045,13,S008,4911,133,0,176
L000046,13,S001,4413,133,10,47
L000047,14,S009,579,110,5,278
L000048,14,S011,521,113,50,186
L000049,15,S011,775,152,30,335
L000050,15,S007,825,137,20,38
L000051,16,S012,1330,0,30,129
L000052,17,S014,2894,236,40,133
L000053,17,S010,2586,128,0,231
L000054,17,S006,2963,0,25,295
L000055,17,S008,2589,187,15,99
L000056,17,S005,2733,92,5,46
L000057,18,S004,3451,0,10,305
L000058,18,S010,3535,163,10,105
L000059,18,S014,2981,142,30,210
L000060,19,S003,4952,219,20,95
L000061,19,S002,5227,157,0,263
L000062,19,S013,5096,0,0,440
L000063,19,S007,5195,150,25,556
L000064,20,S010,5066,122,30,30
L000065,20,S002,5176,113,50,225
L000066,20,S011,4542,170,20,202
L000067,21,S013,3624,191,10,168
L000068,21,S012,3820,0,20,1646
L000069,21,S010,3763,0,0,183
L000070,21,S007,4015,194,20,131
L000071,22,S008,4213,184,10,34
L000072,22,S014,4146,153,10,238
L000073,22,S005,4069,51,10,422
L000074,22,S007,3519,139,20,150
L000075,23,S003,5535,135,5,111
L000076,23,S009,5617,130,40,141
L000077,23,S002,5616,84,10,44
L000078,24,S001,5964,0,10,146
L000079,24,S012,5818,102,5,386
L000080,24,S009,5865,0,5,204
L000081,25,S013,2447,0,30,632
L000082,25,S014,2743,217,5,253
L000083,25,S012,2374,90,10,72
L000084,25,S009,2592,152,30,31
L000085,25,S008,2467,103,0,164
L000086,26,S008,3211,124,10,495
L000087,26,S010,2935,250,5,136
L000088,27,S006,3617,223,5,167
L000089,27,S013,3687,145,10,37
L000090,27,S011,3674,0,25,51
L000091,27,S008,3904,0,20,325
L000092,27,S002,3834,161,25,121
L000093,28,S007,3628,0,30,216
L000094,29,S010,5041,203,30,68
L000095,29,S012,4314,0,20,122
L000096,29,S004,4579,109,20,94
L000097,30,S001,3841,213,40,46
L000098,31,S013,3940,216,15,34
L000099,31,S002,4448,121,60,680
L000100,31,S003,4582,75,10,79
L000101,32,S008,5759,0,20,190
L000102,33,S006,4241,156,5,172
L000103,33,S013,3624,217,20,347
L000104,34,S003,4205,229,0,267
L000105,35,S001,4562,137,20,134
L000106,35,S009,4525,50,15,72
L000107,35,S014,4211,250,20,177
L000108,36,S008,1615,134,15,70
L000109,36,S010,1468,0,0,122
L000110,36,S002,1400,104,30,10
L000111,36,S014,1610,50,20,86
L000112,36,S004,1384,227,10,210
L000113,37,S010,3934,170,15,39
L000114,37,S004,4048,0,5,98
L000115,38,S003,4382,0,20,28
L000116,38,S010,4773,169,20,42
L000117,38,S007,4464,0,5,179
L000118,39,S013,5021,143,0,168
L000119,39,S009,4953,219,15,108
L000120,39,S002,4458,143,5,49
L000121,39,S012,4665,64,15,32
L000122,40,S012,1122,184,25,208
L000123,40,S005,1098,0,10,399
L000124,40,S013,1157,190,5,246
L000125,41,S011,756,0,40,162
L000126,41,S005,753,121,10,34
L000127,41,S004,703,54,25,727
L000128,41,S009,687,116,40,255
L000129,41,S001,745,56,10,62
L000130,42,S003,515,0,20,540
L000131,42,S013,594,126,0,181
L000132,42,S004,592,222,10,338
L000133,42,S006,575,192,15,178
L000134,43,S006,2819,114,10,164
L000135,43,S005,2934,131,15,134
L000136,43,S001,3049,104,10,199
L000137,44,S006,1389,241,5,227
L000138,44,S001,1263,64,40,113
L000139,44,S002,1163,147,5,127
L000140,44,S013,1375,178,20,67
L000141,44,S009,1308,92,60,182
L000142,45,S008,3890,94,10,697
L000143,46,S002,1740,0,15,114
L000144,46,S008,1711,69,15,1296
L000145,46,S012,1720,153,15,338
L000146,47,S008,4460,178,5,298
L000147,47,S011,3955,105,15,116
L000148,47,S014,3846,148,25,38
L000149,48,S004,3455,210,5,50
L000150,49,S009,2317,0,10,361
L000151,49,S001,2030,200,5,41
L000152,50,S008,3255,171,15,794
L000153,50,S009,3092,213,20,2313
L000154,51,S006,1638,181,25,215
L000155,51,S014,1644,0,10,231
L000156,52,S003,1051,194,20,151
L000157,52,S002,999,110,0,93
L000158,52,S012,1020,141,5,147
L000159,52,S010,980,0,10,74
L000160,53,S011,5384,147,10,91
L000161,53,S010,5792,134,15,307
L000162,53,S009,5615,0,40,115
L000163,53,S006,5740,229,10,82
L000164,53,S008,5736,109,20,521
L000165,54,S014,4499,0,20,771
L000166,54,S006,4416,146,10,169
L000167,54,S002,4343,219,25,152
L000168,54,S004,3922,88,60,83
L000169,54,S005,4070,86,15,20
L000170,55,S009,4504,0,0,125
L000171,55,S005,4397,105,15,82
L000172,56,S005,4359,127,20,155
L000173,56,S012,3636,168,5,69
L000174,56,S013,3976,144,5,193
L000175,56,S001,3969,0,20,597
L000176,56,S010,3718,213,30,397
L000177,57,S007,1640,116,40,77
L000178,57,S008,1818,200,5,57
L000179,57,S005,1852,227,20,507
L000180,57,S004,1841,66,20,258
L000181,58,S009,5053,87,50,489
L000182,59,S004,3435,185,10,198
L000183,59,S001,3421,0,20,276
L000184,59,S009,3200,81,5,73
L000185,60,S006,4687,0,5,187
L000186,60,S012,4961,243,30,34
L000187,60,S005,4159,0,30,245
L000188,60,S003,4778,0,25,69
L000189,60,S002,4763,79,20,265
L000190,61,S002,1473,0,30,407
L000191,61,S001,1420,90,10,286
L000192,61,S004,1489,122,0,317
L000193,62,S002,647,98,50,241
L000194,62,S012,591,248,30,31
L000195,62,S011,562,175,10,42
L000196,63,S014,5055,60,20,85
L000197,63,S011,5525,112,5,64
L000198,63,S013,5085,203,25,32
L000199,63,S012,5708,81,5,486
L000200,64,S001,3626,149,0,246
L000201,64,S007,3593,138,30,72
L000202,65,S007,3796,0,15,90
L000203,65,S010,3958,0,40,65
L000204,65,S002,3514,0,15,145
L000205,65,S004,3405,123,30,1164
L000206,65,S012,3844,226,25,522
L000207,66,S006,2322,97,20,84
L000208,66,S011,2588,0,0,342
L000209,66,S014,2185,234,10,364
L000210,66,S007,2366,188,25,52
L000211,67,S001,1613,94,15,563
L000212,67,S005,1743,0,10,41
L000213,67,S002,1557,233,40,200
L000214,67,S008,1496,208,15,78
L000215,68,S003,3411,0,25,117
L000216,69,S014,3567,197,20,83
L000217,69,S007,3347,71,20,289
L000218,69,S009,3202,0,10,648
L000219,69,S012,3206,112,20,152
L000220,69,S011,3114,119,5,261
L000221,70,S011,2483,0,10,131
L000222,70,S006,2619,0,5,181
L000223,70,S002,2433,71,20,45
L000224,70,S004,2613,147,30,117
L000225,70,S009,2702,0,5,189
L000226,71,S012,5899,114,10,201
L000227,71,S003,5627,0,30,441
L000228,71,S006,5159,0,25,48
L000229,71,S013,5845,0,20,205
L000230,71,S014,5152,150,25,326
L000231,72,S014,1845,221,15,676
L000232,72,S010,1978,214,15,112
L000233,73,S007,5688,194,5,30
L000234,73,S011,5906,93,5,130
L000235,73,S010,6129,145,25,256
L000236,73,S013,6100,0,0,543
L000237,74,S006,1615,140,20,285
L000238,74,S005,1797,197,30,471
L000239,74,S008,1651,114,25,199
L000240,75,S004,3441,0,5,91
L000241,75,S002,3545,216,10,115
L000242,75,S010,3450,197,30,1529
L000243,75,S001,3097,130,10,244
L000244,75,S011,3304,165,10,615
L000245,76,S006,5797,142,10,746
L000246,76,S002,6121,0,5,23
L000247,77,S010,5676,196,0,162
L000248,77,S012,4957,92,15,529
L000249,77,S009,4791,182,30,105
L000250,78,S010,4983,111,20,101
L000251,78,S004,5499,117,20,228
L000252,78,S005,5107,77,30,113
L000253,78,S013,5558,187,10,93
L000254,78,S011,5690,150,30,340
L000255,79,S006,4326,233,50,81
L000256,79,S008,4820,0,20,193
L000257,79,S004,4788,0,30,186
L000258,80,S004,593,133,20,140
L000259,80,S002,640,140,10,632
L000260,80,S007,589,153,10,190
L000261,80,S012,700,237,0,459
L000262,80,S001,664,190,25,164
L000263,81,S011,3535,107,25,345
L000264,81,S009,3637,218,40,82
L000265,81,S003,3811,82,25,87
L000266,82,S010,5846,0,20,179
L000267,82,S009,5510,0,10,775
L000268,82,S013,5711,239,30,8
L000269,82,S014,5473,0,0,30
L000270,83,S014,5636,199,10,296
L000271,83,S004,5783,0,0,240
L000272,84,S012,5055,107,0,48
L000273,84,S004,4770,0,0,69
L000274,84,S007,5323,0,0,98
L000275,84,S006,5007,0,25,157
L000276,85,S001,1372,0,15,22
L000277,85,S003,1564,0,40,46
L000278,85,S012,1608,188,0,97
L000279,85,S006,1554,78,15,375
L000280,85,S005,1500,0,10,100
L000281,86,S014,1942,232,25,325
L000282,86,S001,2138,52,0,49
L000283,86,S009,2188,177,20,355
L000284,86,S003,1956,82,0,275
L000285,87,S013,5968,0,20,123
L000286,87,S011,5217,129,20,435
L000287,87,S002,5681,183,20,38
L000288,87,S004,5648,133,25,396
L000289,88,S001,4156,0,10,284
L000290,89,S003,4842,109,5,147
L000291,89,S002,4210,69,20,80
L000292,90,S001,1465,114,5,42
L000293,90,S005,1461,176,5,362
L000294,90,S002,1381,92,5,285
L000295,90,S009,1337,0,25,44
L000296,90,S008,1371,121,15,54
L000297,91,S011,5076,231,20,179
L000298,91,S012,5292,64,10,43
L000299,91,S010,5275,72,5,537
L000300,91,S007,5228,168,10,369
L000301,91,S009,4691,156,20,385
L000302,92,S014,741,105,0,391
L000303,93,S013,1316,88,30,205
L000304,93,S005,1243,197,40,176
L000305,94,S001,5245,122,25,58
L000306,94,S013,4722,119,15,71
L000307,94,S009,5565,0,20,52
L000308,94,S003,5406,123,5,133
L000309,95,S003,2313,103,10,639
L000310,95,S009,2527,164,5,713
L000311,96,S011,5351,240,20,67
L000312,96,S008,5711,237,15,300
L000313,96,S001,5466,209,0,653
L000314,96,S005,5780,78,5,157
L000315,97,S003,1563,197,20,47
L000316,97,S007,1595,168,15,52
L000317,98,S010,4254,0,15,103
L000318,99,S002,791,74,15,166
L000319,100,S007,1050,0,0,229
L000320,101,S009,1074,63,15,39
L000321,101,S010,1008,68,5,41
L000322,101,S014,999,119,20,79
L000323,101,S012,1029,204,10,63
L000324,101,S008,996,97,20,8
L000325,102,S004,6031,230,15,85
L000326,103,S011,1165,197,25,195
L000327,104,S010,5055,179,5,55
L000328,104,S003,4518,208,10,103
L000329,104,S005,4644,144,25,95
L000330,104,S009,4382,94,10,519
L000331,105,S003,1675,63,25,72
L000332,105,S006,1420,98,10,35
L000333,105,S013,1468,149,20,140
L000334,105,S012,1413,118,5,484
L000335,106,S013,3965,70,20,121
L000336,106,S005,3666,199,10,195
L000337,106,S010,3986,197,15,44
L000338,106,S006,3729,175,0,556
L000339,106,S002,3754,138,10,38
L000340,107,S004,1009,209,15,82
L000341,108,S011,583,51,5,74
L000342,108,S008,626,118,0,128
L000343,108,S004,542,152,5,356
L000344,108,S013,623,206,20,63
L000345,109,S011,4490,0,10,133
L000346,109,S007,4235,200,15,445
L000347,109,S008,4332,248,5,66
L000348,110,S012,2975,97,5,161
L000349,110,S002,3380,210,30,372
