product_index,filepath,embedding,title
0,Himesh/cardigan/img_00000001.jpg,"[-0.0340426005423069, -0.08238521218299866, -0.05890779569745064, -0.2076798528432846, -0.34274929761886597, 0.08175106346607208, 0.1114688515663147, 0.011343544349074364, -0.09151657670736313, 0.21386049687862396, -0.022783875465393066, -0.0743025615811348, -0.034589894115924835, -0.05587366595864296, 0.10060227662324905, -0.1845836192369461, -0.046888574957847595, -0.15664838254451752, 0.19288992881774902, -0.13337884843349457, -0.25565481185913086, -0.08611660450696945, -0.07343269139528275, -0.032296594232320786, -0.23814938962459564, 0.033220622688531876, -0.08014514297246933, 0.11178391426801682, 0.004379146732389927, 0.19230496883392334, 0.17286273837089539, 0.011671957559883595, -0.01252121850848198, 0.03057699464261532, 0.07072656601667404, 0.09874138236045837, 0.06191433221101761, 0.1355215609073639, -0.14400465786457062, 0.13692839443683624, 0.028229108080267906, -0.26371288299560547, 0.0009994360152631998, 0.1940692514181137, 0.07599620521068573, -0.01942371018230915, 0.10480715334415436, 0.04653063789010048, 0.03984540328383446, -0.17031149566173553, -0.02519291639328003, -0.20284153521060944, 0.04087839275598526, -0.06769717484712601, 0.09410439431667328, 0.11681456863880157, 0.11669193208217621, -0.02520325407385826, 0.021887533366680145, 0.19517043232917786, 0.12589812278747559, -0.0819692388176918, -0.10720384865999222, -0.05025448650121689]",Elegant Fit and Flare Dress for Outdoor Wear
1,Himesh/cardigan/img_00000002.jpg,"[-0.034963954240083694, -0.08302097767591476, -0.058796513825654984, -0.20766869187355042, -0.34204718470573425, 0.08149005472660065, 0.11094975471496582, 0.011675042100250721, -0.09164556860923767, 0.213499516248703, -0.022891046479344368, -0.07423388957977295, -0.03445230424404144, -0.055837541818618774, 0.10082895308732986, -0.18489576876163483, -0.047042299062013626, -0.15656359493732452, 0.19318754971027374, -0.13304634392261505, -0.2559799253940582, -0.08681853860616684, -0.07386872172355652, -0.03247035667300224, -0.23855966329574585, 0.0333125963807106, -0.08000993728637695, 0.1120205894112587, 0.003999851178377867, 0.19248248636722565, 0.17350827157497406, 0.011862779036164284, -0.012845264747738838, 0.03133159130811691, 0.06987596303224564, 0.09863383322954178, 0.062291428446769714, 0.13523730635643005, -0.1444011777639389, 0.13674484193325043, 0.02758345939218998, -0.26314809918403625, 0.0011714997235685587, 0.19361862540245056, 0.07511323690414429, -0.019374966621398926, 0.1048644632101059, 0.045741043984889984, 0.04039550572633743, -0.17053116858005524, -0.024994084611535072, -0.2031271606683731, 0.04126434028148651, -0.06730122119188309, 0.09453532099723816, 0.11653222888708115, 0.1164143905043602, -0.024669524282217026, 0.02179459109902382, 0.19526785612106323, 0.12622040510177612, -0.08219162374734879, -0.10749360173940659, -0.0500556081533432]",Comfort Fit Relaxed Fit Fit and Flare Dress for Winter
2,Himesh/cardigan/img_00000003.jpg,"[-0.07182351499795914, -0.13571248948574066, -0.07480181753635406, -0.1801958978176117, -0.29465624690055847, 0.09862023591995239, 0.10209111869335175, -0.008811606094241142, -0.0326978974044323, 0.23954391479492188, -0.020490260794758797, -0.054678864777088165, -0.051172949373722076, -0.042956940829753876, 0.07848940044641495, -0.1788829118013382, 0.0024284985847771168, -0.16601932048797607, 0.20716939866542816, -0.06322403997182846, -0.24215853214263916, -0.14296787977218628, -0.03758617863059044, -0.008499659597873688, -0.19472293555736542, 0.02202397957444191, -0.07454423606395721, 0.1290590912103653, -0.025431020185351372, 0.19437578320503235, 0.1908728927373886, 0.01993958279490471, -0.023974284529685974, 0.025367023423314095, 0.058344025164842606, 0.08207080513238907, 0.08992847055196762, 0.20531947910785675, -0.1672082096338272, 0.1334400773048401, 0.02259056083858013, -0.2786736488342285, -0.015366194769740105, 0.2039986103773117, 0.04922967404127121, -0.02481715753674507, 0.14750540256500244, 0.023202035576105118, 0.024389008060097694, -0.15675196051597595, 0.011345122940838337, -0.20361047983169556, 0.03503665328025818, -0.0966816246509552, 0.12983067333698273, 0.08507542312145233, 0.07673665881156921, -0.021547073498368263, 0.030907882377505302, 0.14782176911830902, 0.16402554512023926, -0.12258423864841461, -0.09695076197385788, -0.03560762479901314]",Elegant Soft Knit Fit and Flare Dress with Comfortable Fit
3,Himesh/cardigan/img_00000004.jpg,"[-0.07225556671619415, -0.13592475652694702, -0.0741770789027214, -0.18112802505493164, -0.29364240169525146, 0.09836864471435547, 0.10117064416408539, -0.007596021983772516, -0.03255288302898407, 0.23917728662490845, -0.0209883414208889, -0.05491459369659424, -0.05049396678805351, -0.04190857708454132, 0.07871448993682861, -0.17877648770809174, 0.0011943267891183496, -0.1669851839542389, 0.2075706124305725, -0.06231104955077171, -0.24396151304244995, -0.141697496175766, -0.03755447268486023, -0.009474937804043293, -0.19614392518997192, 0.0217695701867342, -0.07550919055938721, 0.12803587317466736, -0.025185363367199898, 0.19293491542339325, 0.1908463090658188, 0.01993940956890583, -0.02402026206254959, 0.026244312524795532, 0.057601068168878555, 0.0822664350271225, 0.08969942480325699, 0.20447178184986115, -0.1671186238527298, 0.13217052817344666, 0.022388147190213203, -0.2783217430114746, -0.014957822859287262, 0.20447492599487305, 0.04962809011340141, -0.024271074682474136, 0.14792928099632263, 0.02290661633014679, 0.023153195157647133, -0.15778806805610657, 0.010565998032689095, -0.2037760615348816, 0.03680061548948288, -0.09601856768131256, 0.12942436337471008, 0.08603084087371826, 0.07690273970365524, -0.02220962382853031, 0.03090802952647209, 0.14751964807510376, 0.16465429961681366, -0.12298866361379623, -0.09712525457143784, -0.03596426546573639]",Unisex Designer Fit and Flare Dress for Office Wear
4,Himesh/cardigan/img_00000005.jpg,"[0.051691435277462006, 0.020214460790157318, -0.16417540609836578, -0.22325780987739563, -0.3372258245944977, 0.06851011514663696, 0.12273459136486053, -0.03855377808213234, -0.04814593121409416, 0.18782784044742584, -0.028014708310365677, -0.06252006441354752, -0.039492398500442505, -0.08897259831428528, 0.07113613188266754, -0.1622467190027237, 0.031201407313346863, -0.12042329460382462, 0.13792908191680908, -0.12848082184791565, -0.19207289814949036, -0.02693973109126091, -0.10915312170982361, 0.013944286853075027, -0.17739030718803406, -0.012703209184110165, -0.09209826588630676, 0.135604128241539, 0.005437368992716074, 0.0866968110203743, 0.16788209974765778, 0.05799274146556854, -0.06336379796266556, -0.004026275128126144, 0.10907043516635895, 0.05421225354075432, 0.04725942388176918, 0.18893633782863617, -0.12506833672523499, 0.1958753764629364, 0.029790721833705902, -0.3678221106529236, -0.059555407613515854, 0.2516459822654724, 0.03408407047390938, 0.02327745035290718, -0.00807445589452982, 0.09279218316078186, 0.05091350898146629, -0.13297539949417114, 0.02439892664551735, -0.1822982132434845, 0.03736661747097969, -0.03211760148406029, 0.07364197075366974, 0.11509203910827637, 0.028485869988799095, -0.07541848719120026, 0.06568359583616257, 0.24547410011291504, 0.1600039005279541, -0.02202620729804039, -0.07912806421518326, -0.028675293549895287]",Premium Regular Fit Fit and Flare Dress for Casual Fashion
5,Himesh/cardigan/img_00000006.jpg,"[0.04865105450153351, 0.013005773536860943, -0.1628117710351944, -0.22542276978492737, -0.34893688559532166, 0.0649460181593895, 0.13226166367530823, -0.04158517345786095, -0.05926672741770744, 0.19109708070755005, -0.02673760987818241, -0.052951350808143616, -0.0456346720457077, -0.09959898144006729, 0.07853291928768158, -0.15896622836589813, 0.03397401422262192, -0.11753290891647339, 0.13824912905693054, -0.13518141210079193, -0.18963512778282166, -0.029956383630633354, -0.09844966977834702, 0.001866140984930098, -0.17116820812225342, -0.0009959990857169032, -0.09365375339984894, 0.13504445552825928, -0.0033573023974895477, 0.09112417697906494, 0.1771518588066101, 0.04046523571014404, -0.05380038172006607, -0.0051530213095247746, 0.1149967759847641, 0.04045433923602104, 0.037116486579179764, 0.18420761823654175, -0.12243948131799698, 0.1942020207643509, 0.031332552433013916, -0.3612882196903229, -0.05516279116272926, 0.25124767422676086, 0.04290842264890671, 0.02640789933502674, 0.004905809182673693, 0.09400193393230438, 0.053700853139162064, -0.11799260228872299, 0.013823523186147213, -0.1829414963722229, 0.044046249240636826, -0.032421547919511795, 0.06395915895700455, 0.11591367423534393, 0.031783055514097214, -0.06246352940797806, 0.05761956050992012, 0.24838921427726746, 0.162467822432518, -0.032885197550058365, -0.08708757162094116, -0.02350154146552086]",Elegant Relaxed Fit Fit and Flare Dress for Office Wear
6,Himesh/cardigan/img_00000007.jpg,"[-0.03449909761548042, -0.027276096865534782, -0.09465504437685013, -0.23199157416820526, -0.3347829580307007, -0.01722712442278862, 0.15797565877437592, -0.034769732505083084, -0.10610953718423843, 0.14446699619293213, 0.03550795093178749, -0.10537292808294296, 0.0061330473981797695, -0.05743321031332016, 0.13824598491191864, -0.19061361253261566, -0.05504238232970238, -0.2121593952178955, 0.1479906439781189, -0.049361102283000946, -0.17622686922550201, -0.07744864374399185, -0.048545584082603455, -0.07286787033081055, -0.18667493760585785, -0.009838633239269257, -0.07882758229970932, 0.07014788687229156, -0.03407570347189903, 0.20376068353652954, 0.2033551037311554, -0.01726282574236393, -0.04160458967089653, 0.13877490162849426, 0.11194174736738205, 0.10307328402996063, 0.021841546520590782, 0.13877680897712708, -0.10705868899822235, 0.171033576130867, -0.0065794470719993114, -0.19459268450737, 0.023119838908314705, 0.2746790051460266, 0.03880685940384865, -0.006321244407445192, 0.08738067746162415, 0.0837407037615776, -0.002109695691615343, -0.08933793753385544, -0.0047087944112718105, -0.2794203460216522, 0.06596572697162628, -0.09018577635288239, 0.08887137472629547, 0.136089488863945, -0.01056518405675888, -0.041212357580661774, -0.042074136435985565, 0.21924076974391937, 0.16197893023490906, -0.008181569166481495, -0.07219760119915009, 0.05592585355043411]",Casual Designer Fit and Flare Dress for Every Occasion
7,Himesh/cardigan/img_00000008.jpg,"[-0.035483382642269135, -0.024556206539273262, -0.0919061005115509, -0.23721061646938324, -0.3390115797519684, -0.018277518451213837, 0.15662188827991486, -0.03441512584686279, -0.10476882755756378, 0.14369647204875946, 0.03357991948723793, -0.10838054120540619, 0.0020128057803958654, -0.060340866446495056, 0.13724258542060852, -0.19049006700515747, -0.05748949572443962, -0.2077433317899704, 0.15038621425628662, -0.05437403917312622, -0.17430919408798218, -0.077898308634758, -0.048665039241313934, -0.0763569101691246, -0.18509124219417572, -0.010747245512902737, -0.08391593396663666, 0.06954328715801239, -0.03931425139307976, 0.20425724983215332, 0.20600783824920654, -0.019161846488714218, -0.03919253125786781, 0.13349401950836182, 0.11305078119039536, 0.10059110075235367, 0.016284052282571793, 0.13879118859767914, -0.10621090978384018, 0.16969022154808044, -0.004627219866961241, -0.19345924258232117, 0.017319628968834877, 0.27238985896110535, 0.03817378357052803, -0.006091858260333538, 0.09448351711034775, 0.07428845018148422, 0.0034228689037263393, -0.09425490349531174, -0.008075106889009476, -0.2753450870513916, 0.062297943979501724, -0.09266576170921326, 0.08529068529605865, 0.1338694840669632, -0.004586163908243179, -0.04029656946659088, -0.04043298587203026, 0.2218572199344635, 0.16140589118003845, -0.012553655542433262, -0.07973950356245041, 0.05400332808494568]",Classic Relaxed Fit Fit and Flare Dress for Every Occasion
8,Himesh/cardigan/img_00000009.jpg,"[0.007009434979408979, -0.02654089219868183, -0.09862300753593445, -0.21204771101474762, -0.38881534337997437, -0.017218850553035736, 0.1510598361492157, 0.02544221095740795, -0.09713819622993469, 0.16451036930084229, -0.0050167362205684185, -0.08506517112255096, -0.04961925745010376, -0.05036694556474686, 0.13499297201633453, -0.14768096804618835, -0.007634452544152737, -0.15243598818778992, 0.1807781457901001, -0.13421590626239777, -0.18103554844856262, -0.07008787989616394, -0.09483835101127625, -0.09615682065486908, -0.20765076577663422, 0.056638672947883606, -0.059712063521146774, 0.08166740089654922, -0.031168334186077118, 0.23359152674674988, 0.15468813478946686, -0.002757734153419733, -0.02356976829469204, 0.017183702439069748, 0.11090666055679321, 0.029099056497216225, -0.014941929839551449, 0.12374993413686752, -0.09583308547735214, 0.1750972718000412, 0.044478271156549454, -0.24084289371967316, -0.04891864210367203, 0.20481902360916138, 0.022896531969308853, 0.03935759514570236, 0.02814553678035736, 0.08170627802610397, 0.060663118958473206, -0.14098364114761353, -0.006733873393386602, -0.2139994204044342, 0.06923804432153702, -0.1090036928653717, 0.08251819759607315, 0.17772190272808075, 0.0909433364868164, -0.06829880177974701, 0.008749525062739849, 0.2515772879123688, 0.1428273618221283, -0.007621731609106064, -0.1014239564538002, 0.010492434725165367]",Men's Lightweight Fit and Flare Dress for Casual Fashion
9,Himesh/cardigan/img_00000010.jpg,"[0.02432258240878582, -0.02047405205667019, -0.10503935068845749, -0.21449168026447296, -0.39151421189308167, -0.023589003831148148, 0.15243059396743774, 0.019475361332297325, -0.0982690155506134, 0.16159255802631378, -0.0006551247206516564, -0.08230926096439362, -0.05514638498425484, -0.05777980387210846, 0.13392557203769684, -0.13921545445919037, 0.0027065500617027283, -0.14485418796539307, 0.167841374874115, -0.1463155746459961, -0.160953089594841, -0.0761355385184288, -0.09923107922077179, -0.09000691771507263, -0.18929536640644073, 0.05495805665850639, -0.05918290466070175, 0.08380763232707977, -0.03398776054382324, 0.23169420659542084, 0.15591980516910553, 0.001934217056259513, -0.012605060823261738, 0.011057603172957897, 0.123662069439888, 0.011863425374031067, -0.020431434735655785, 0.13249988853931427, -0.09514494985342026, 0.1817731261253357, 0.0471910685300827, -0.24889256060123444, -0.05692229047417641, 0.21004919707775116, 0.024921633303165436, 0.04091014713048935, 0.01764429546892643, 0.08965148031711578, 0.06505687534809113, -0.133966863155365, -0.00332198990508914, -0.20884749293327332, 0.0666528269648552, -0.11324956268072128, 0.0797019824385643, 0.17237092554569244, 0.09007485210895538, -0.06831807643175125, 0.014470011927187443, 0.254751592874527, 0.15237456560134888, -0.005130051169544458, -0.10521040111780167, 0.0141527084633708]",Unisex Modern Fit and Flare Dress for Casual Fashion
