image_path,class_id,x_center,y_center,width,height
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001797.jpg,7,0.507507,0.617903,0.554344,0.669839
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001797.jpg,7,0.505364,0.616825,0.554344,0.666374
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001215.jpg,7,0.41972,0.679029,0.383289,0.497177
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001215.jpg,7,0.41893,0.679118,0.384946,0.501083
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001215.jpg,7,0.4408,0.608129,0.439121,0.683511
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001786.jpg,7,0.500228,0.637374,0.420108,0.608695
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001786.jpg,7,0.500355,0.636307,0.418168,0.608695
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001039.jpg,7,0.541894,0.52829,0.58624,0.903363
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001039.jpg,7,0.525003,0.531307,0.621725,0.9006
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000225.jpg,7,0.51264,0.551332,1.0,0.749235
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000225.jpg,7,0.515406,0.556014,1.0,0.744806
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001781.jpg,7,0.51066,0.503028,0.892072,0.987956
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001781.jpg,7,0.513345,0.504089,0.889763,0.987956
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001038.jpg,7,0.63718,0.673238,0.71231,0.641632
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000168.jpg,7,0.415849,0.569374,0.83489,0.850071
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000168.jpg,7,0.442176,0.640753,0.704804,0.55554
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000168.jpg,7,0.442836,0.640365,0.704804,0.561319
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001205.jpg,7,0.548538,0.514665,0.294303,0.608211
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001205.jpg,7,0.543349,0.537415,0.23536,0.384849
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001205.jpg,7,0.542834,0.538422,0.236064,0.382941
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000216.jpg,7,0.44156,0.578255,0.644622,0.563242
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000216.jpg,7,0.442534,0.577972,0.635017,0.559395
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001195.jpg,7,0.559878,0.358099,0.735572,0.713119
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001782.jpg,7,0.481186,0.55929,0.728193,0.686882
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001782.jpg,7,0.479997,0.558253,0.725266,0.686882
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000150.jpg,7,0.52804,0.328609,0.43358,0.591826
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000150.jpg,7,0.528303,0.489846,0.446352,0.936332
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000217.jpg,7,0.498989,0.523664,1.0,0.712393
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000217.jpg,7,0.499072,0.522544,1.0,0.71079
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001212.jpg,7,0.56014,0.578924,0.669899,0.638032
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/001212.jpg,7,0.558994,0.577541,0.672797,0.639834
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000158.jpg,7,0.500305,0.528168,1.0,0.93348
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000158.jpg,7,0.499706,0.527414,1.0,0.936332
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000167.jpg,7,0.520911,0.487668,0.704804,0.791247
/kaggle/input/datasets/afqwe0/clotheslabelled/Himesh/fit-and-flare dress/000162.jpg,7,0.681967,0.466682,0.209499,0.987576
